manufacturer,category,website,origin,has_prices,data_type,scrape,notes
Godrej Interio,office furniture / seating / workstations / storage / soft seating,https://interio.com/business/workspace,Indian,yes,shopify-js,easy,"INR prices + images + material specs; breakout seating ₹26k–1.03L"
Featherlite,office furniture / seating / soft seating / workstations,https://www.featherlitefurniture.com/,Indian,partial,static+pdf,medium,"catalogs on corp site; prices on separate featherlitestore.com"
Geeken Furniture,seating / workstations,https://geeken.in/,Indian,no,js+pdf,medium,"1100+ products; catalogue PDFs in resources; B2B quote"
Wipro Furniture,office / institutional furniture,https://www.wiprofurniture.in/,Indian,no,js / bot-blocked,hard,"LIVO range + overview catalog PDF; site bot-blocks automated fetch"
Nilkamal Furniture,office chairs / furniture / storage,https://www.nilkamalfurniture.com/collections/office-chairs,Indian,yes,shopify-json,easy,"60+ chairs with INR prices; Shopify — products.json available"
Nilkamal Edge,office / healthcare / education furniture,https://www.nilkamaledge.com/,Indian,no,shopify,medium,"B2B identity; catalog link; no prices on this site"
Durian,office furniture / desks / chairs,https://www.durian.in/buy-furniture/office-furniture,Indian,yes,js-ecom,easy,"ergonomic chairs + desks with INR prices + reviews"
Human Method Ergo (Bluebell),executive / ergonomic seating,https://www.humanmethodergo.com/,Indian,yes,js-ecom,easy,"bluebellergonomics.com redirects here; INR prices"
Methodex Systems,seating / workstations,https://www.methodexsystems.com/,Indian,no,thin / indiamart,hard,"thin homepage; deeper data on IndiaMART/TradeIndia"
Transteel,seating / workstations,https://workstation.transteel.com/,Indian,no,static+pdf,easy,"RICH: 2023 catalogue PDF + dimensions (1200x600mm) + materials"
Spacewood (SOS / BURO),workstations / seating / storage,https://www.sosoffice.in/,Indian,no,static+pdf,medium,"brochures + user guides + shade palettes; no prices"
Steelcase India,seating / workstations,https://in.steelcase.com/,Global-India,yes,shopify,easy,"INR prices (Gesture ₹128,000); product specs; Shopify"
Herman Miller India,seating / workstations / lounge,https://www.hermanmiller.com/en_in/,Global-India,no,js,medium,"deep specs/dimensions per product; dealer-quoted prices"
Haworth India,seating / workstations,https://in.shopping.haworth.com/,Global-India,yes,shopify,easy,"Fern/Zody/Very; sale pricing; Shopify"
S Cube Ergonomics (Humanscale),seating / sit-stand / monitor arms,https://www.scube-ergo.com/,Global-India,yes,static-ecom,easy,"Humanscale distributor; INR prices"
Knoll (MillerKnoll),seating / workstations,https://www.knoll.com/,Global-India,no,js,hard,"no India storefront; sold via MillerKnoll dealers; US specs"
Zuari Furniture,office furniture,https://zuarifurniture.in/,Indian,no,js / empty,hard,"real (Chennai); homepage empty to fetch; sells via Amazon/Pepperfry"
Usha Shriram,steel office furniture / storage,https://www.usha.in/,Indian,no,static / quote,hard,"Estelo steel line via IndiaMART dealer; thin brand site"
Kian Falcon,contract office furniture,https://kianfalcon.co/,Global-India,no,static,medium,"Faridabad plant; portfolio + catalogs behind clicks"
Damro,office furniture / steel storage,https://www.damroindia.com/office-furniture.html,Global-India,no,static / bot-blocked,hard,"large catalog; bot-blocks (403)"
HNI India (Kokuyo),modular office furniture,https://estore.hni-india.com/,Global-India,partial,js-heavy,medium,"Nagpur plant; e-store implies prices; heavy CDN"
Modi Furniture,office furniture / storage,https://www.modifurniture.com/,Indian,no,shopaccino-js,medium,"Jaipur; BIFMA/ISO certs; lazy-loaded images"
Inspace,office furniture / storage,https://www.inspaceindia.com/office-storage/,Indian,no,nextjs,medium,"Chennai; storage cabinets; prices on inquiry"
Alfa Furniture,office furniture / chairs / workstations,https://alfafurnituremart.com/,Indian,no,static+form,medium,"PDF portfolio via form; no on-page prices"
Narain Furniture,storage / lockers / pedestals,https://www.indiamart.com/narain-furniture/,Indian,no,indiamart,hard,"Delhi retailer (not mfr); IndiaMART quote model"
Wipro Seating Solutions,lounge / collaborative seating,https://wiproseatingsolutions.com/,Indian,no,js,medium,"images; no specs/prices"
AFC India,soft seating / lounge / sofa,https://www.afcindia.in/categories/soft-seating,Indian,no,static,hard,"category images only; thin"
Monarch Ergo,office sofas / soft seating / reception,https://www.monarchergo.com/seating-sofa,Indian,no,js,medium,"material guide; no prices/dimensions"
Stellar Global,sofas / phone booths / recliners,https://www.stellarglobal.com/india/,Global-India,no,static / gated,medium,"catalog gated behind request form"
Ergosphere,monitor arms / risers / accessories,https://ergosphere.in/,Indian,yes,static-ecom,easy,"INR prices; light spec depth"
Rife India,monitor arms / trays / sit-stand,https://www.rifeindia.com/,Indian,yes,shopify,easy,"INR prices; Shopify"
Power Bridge (Ergotron),monitor arms / sit-stand / AV,https://www.powerbridge.in/ergotron,Global-India,no,js,medium,"RICH in-page specs/dimensions; pricing on inquiry"
Prolegend India,monitor mounts / VESA arms,https://prolegendindia.com/,Indian,yes,static-ecom,easy,"INR prices"
Whitemark,whiteboards / writing surfaces,https://whitemark.in/,Indian,no,wordpress,hard,"thin; no specs/prices"
Princeboard India,whiteboards / signage,https://princeboard.com/,Indian,no,static+js,hard,"category images; thin"
Cosign India,signage / wayfinding,https://cosign.in/,Global-India,no,wordpress,medium,"image galleries; downloads menu"
Hunter Douglas India,acoustic ceilings / blinds / shades,https://ap.hunterdouglas.asia/in/,Global-India,no,js,medium,"HeartFelt/Techstyle ceilings + window treatments; specs in PDFs"
D'Decor,contract textiles / upholstery,https://www.ddecor.com/,Indian,yes,js-ecom,easy,"FabriCare; INR prices; collections"
Sutlej Textiles,contract upholstery / drapery,https://www.sutlejtextiles.com/,Indian,no,static,hard,"corporate brochure PDF only"
Response Fabrics,contract upholstery / leatherite,https://responsefabrics.com/,Indian,no,js+pdf,medium,"4 downloadable PDF e-catalogs"
Anutone Acoustics,acoustic panels / ceilings / baffles,https://anutone.com/,Indian,no,static+pdf,medium,"NRC inside Drive/PDF brochures"
Acoustical Surfaces India,acoustic wall/ceiling panels,https://www.acousticalsurfaces.in/,Global-India,no,js,medium,"400+ products; Bengaluru ops; quote-based"
Decibels Acoustics,acoustic booths / enclosures / barriers,https://www.decibelsacoustics.co.in/,Indian,no,indiamart / blocked,hard,"own site 403; ~64 products on IndiaMART"
Framery,acoustic phone booths / pods,https://framery.com/en/,Global,no,js / gated,hard,"no official India distributor; specs/price behind sales flow"
Aerolam Insulations,XLPE acoustic panels / ceiling,https://aerolam.com/,Indian,no,static,hard,"images only; data-thin"
Sound Seal,acoustic panels / baffles / barriers,https://www.soundseal.com/,Global,no,static+pdf,medium,"India via Acoustical Surfaces; NRC/STC in PDFs"
Saint-Gobain Gyproc India,drywall / ceilings / plasterboard,https://www.gyproc.in/,Global-India,no,js+pdf,medium,"fire/acoustic specs in PDFs; richest gypsum set"
USG Boral / Knauf India,gypsum boards / acoustic ceilings,https://www.knauf.com/en-IN/,Global-India,no,pdf / waf-blocked,medium,"EchoBloc NRC≤0.85; usgboral.com WAF-blocks; Knauf page fetchable"
Armstrong Ceilings India,mineral fiber / metal acoustic ceilings,https://www.armstrong.co.in/,Global-India,no,js / blocked,hard,"NRC at product level; WAF/geo blocked"
Everest Industries,fibre-cement boards / ceilings / drywall,https://www.everestind.com/,Indian,no,static,hard,"Duraceil; thin specs"
Greenply Industries,plywood / MDF / veneers / doors,https://www.greenply.com/,Indian,no,js,medium,"material calculator; pricing via inquiry"
Saint-Gobain Glass India (Clipper),glass partitions / glazing,https://in.saint-gobain-glass.com/,Global-India,no,js / waf-blocked,hard,"Clipper modular partitions; 403 to bots"
iQubx,modular glazed partitions,https://iqubx.com/,Indian,no,static+pdf,medium,"RICHEST: 21.8MB PDF catalog + STC 54 + GREENPRO/IGBC"
Vantage India,modular glass partitions / doors,https://vantageindia.in/,Indian,no,static,hard,"brochure on Google Drive; low richness"
CRM India (Vedic),demountable glass partitions,https://crmindia.co.in/,Indian,no,static,hard,"qualitative acoustic only; thin"
Trio India,glazed partition walls,https://trioindia.net/,Indian,no,static,medium,"inline specs (panel size/infill)"
LIKO-S India,frameless glass / movable walls,https://www.liko-s.in/,Global-India,no,static+pdf,medium,"catalogs/specs in Download section"
Interface India,carpet tiles / LVT / nora rubber,https://www.interface.com/,Global-India,no,js+pdf,medium,"spec sheets + EPDs + carbon-negative certs; no India page"
Welspun Flooring,carpet tiles / broadloom / SPC,https://welspunflooring.com/,Indian,no,nextjs+pdf,medium,"catalog PDFs + LEED BD+C v4"
Tarkett Asia,vinyl / LVT / linoleum / carpet,https://www.tarkett-asia.com/en_RA/,Global-India,no,js+pdf,medium,"datasheets + Fire/C2C/LEED certs; rich doc center"
Responsive Industries,vinyl / SPC / LVT flooring,https://www.responsiveindustries.com/,Indian,partial,indiamart / blocked,hard,"own site 403; IndiaMART mirror has ₹ prices (₹60–250/sqft)"
Forbo India,linoleum / vinyl / LVT / Flotex,https://www.forbo.com/flooring/en-in/,Global-India,no,js+pdf,medium,"2026 portfolio catalog + certs + FloorVisualizer"
LX Hausys (HFLOR),vinyl / LVT,https://www.lxhausys.com/,Global-India,no,js-spa,hard,"FloorScore/low-VOC; needs headless browser"
Shaw Contract,carpet tiles / LVT / resilient,https://www.shawcontract.com/en-in,Global-India,no,mixed+pdf,medium,"APAC PDF catalogs + LEED/WELL/C2C; PDFs scrapeable"
Milliken,carpet tiles / LVT,https://floorseurope.milliken.com/india,Global-India,no,static,hard,"India page thin; data on en-us sections"
Unitile (United Group),raised access flooring,https://www.unitileindia.com/,Indian,no,static,hard,"green certs (SGBC/IGBC); no catalogs/prices"
Fab Floorings India,rubber / resilient / PVC,https://www.fabflooringsindia.com/,Indian,no,static+pdf,medium,"2025 catalog PDF; project images"
Greenlam Industries,laminates / veneers / panels,https://www.greenlamindustries.com/,Indian,no,static+pdf,medium,"flipbook catalogs; FSC/GREENPRO/GRIHA/Greenguard"
Merino Laminates,laminates / panels / edge banding,https://www.merinolaminates.com/,Indian,no,pdf / bot-blocked,medium,"Greenguard Gold + published TVOC; homepage 403"
Century Laminates,laminates / veneers / plywood,https://www.centuryply.com/centurylaminates,Indian,partial,js+pdf,medium,"Colour Picker; prices in eShop/login portal"
Royale Touche,laminates / acrylic / veneer,https://royaletouche.com/,Indian,yes,woo+js,easy,"INR PRICES (₹3,300–8,900/sheet); WooCommerce"
Stylam Industries,HPL / compact laminates / acrylic,https://stylam.com/,Indian,no,js+pdf,medium,"e-catalogue + Design Visualizer"
Sundek India,HPL / compact / veneer laminates,https://sundekindia.com/,Indian,no,js-spa,hard,"e-catalogue; harder to scrape"
Virgo Laminates,HPL laminates / cladding,https://virgohplworld.com/en,Indian,no,static,hard,"catalog/gallery empty; low richness"
Action TESA,MDF / particle board / HDHMR / panels,https://www.actiontesa.com/,Indian,no,js+pdf,medium,"200+ shades; virtual room planner"
Advance Laminates,laminates / acrylic / cladding,https://advancelam.com/,Indian,no,static+pdf,medium,"RICHEST: per-product PDFs + 360 views + ISO/FSC/CE"
Hanex (Hyundai L&C),acrylic solid surface,https://www.hanex.com/,Global,no,static+pdf,medium,"India via Merino Hanex; color collections + spec PDFs"
Wipro Lighting,architectural / office lighting,https://www.wiprolighting.com/,Indian,no,js-spa,medium,"Modern Workspaces/PoE; spec sheets per product"
Signify / Philips India,professional lighting,https://www.signify.com/en-in/,Global-India,no,js-spa+pdf,medium,"deep catalog; per-product datasheet PDFs"
Havells,LED panels / luminaires,https://havells.com/,Indian,partial,js+pdf,easy,"consumer MRP + pro catalogue & price-list PDFs"
Bajaj Electricals,professional / workspace lighting,https://www.bajajelectricals.com/,Indian,no,pdf / bot-blocked,medium,"PDF catalogues + price reckoners; pages 423/403"
Crompton,commercial lighting,https://www.crompton.co.in/,Indian,yes,shopify-json,easy,"63 pro SKUs + MRP (₹10.5k–165k); JSON endpoints"
Surya Roshni,professional lighting,https://suryaroshniprofessionallighting.com/,Indian,no,nextjs-spa,hard,"offices/commercial categories; no surfaced specs"
Halonix,professional / institutional lighting,https://www.halonix.co.in/,Indian,partial,wordpress+pdf,medium,"PDF catalogue + 2026 public price list"
Orient Electric,office / architectural lighting,https://lighting.orientelectric.com/,Indian,partial,shopify-spa,easy,"downlights/panels/linear/HCL; retail prices"
Syska,commercial lighting,https://syska.co.in/,Indian,partial,js-spa+pdf,medium,"Download Catalogue PDFs; prices in store sections"
GM Modular,LED panels / spots / linear,https://www.gmmodular.com/,Indian,partial,js+pdf,medium,"catalogues + technical manuals (lumens/wattage); store.gmmodular.com"
Jaquar Lighting,commercial / architectural lighting,https://www.jaquar.com/en/cls-lighting,Indian,no,cloudflare-blocked,hard,"in-house LED chips; 403 Cloudflare"
Ugaoo,office plants / planters,https://www.ugaoo.com/,Indian,yes,shopify-json,easy,"plant species + care attrs + INR prices; products.json"
Nurturing Green,office plants / desk plants,https://nurturinggreen.in/,Indian,yes,shopify,easy,"care tags (low-light/air-purifying) + INR prices"
TrustBasket,planters / pots / gardening,https://trustbasket.com/,Indian,yes,shopify,easy,"sizes/specs + INR prices"
VertVista,vertical gardens / green walls / bio walls,https://vertvista.com/,Indian,no,static,hard,"project images; no specs/prices"
ELT India (Ecogreen),living / bio / green walls,https://eltindia.com/,Indian,no,wordpress,medium,"large project portfolio; no spec PDFs"
Gamlaa,preserved moss walls,https://gamlaa.com/moss-walls/,Indian,no,wordpress / gated,hard,"catalogues behind login"
Treemendous (Plants@Work),office plant supply / rental,https://treemendous.in/plants-for-offices/,Indian,no,static,hard,"B2B rental; enquiry form only"
Imperial Knots,carpets / rugs / dhurries,https://www.imperialknots.com,Indian,yes,shopify-json,easy,"VERIFIED INR products.json; hand-tufted rugs ~16k-28k; Floor source"
Obeetee,carpets / rugs (hand-knotted),https://obeetee.in,Indian,yes,shopify-json,easy,"VERIFIED INR; ₹11k-567k; rich material specs; Floor source"
Giffywalls,wallpaper / self-adhesive / murals,https://www.giffywalls.in,Indian,yes,shopify-json,easy,"VERIFIED INR per-roll; first variant often ₹0 sample; Walls source"
Oorjaa,decorative / pendant / floor lamps,https://www.oorjaa.in,Indian,yes,shopify-json,easy,"VERIFIED INR; handmade paper lamps; dimensions in body_html"
FIG Living,decorative table / lighting,https://www.figliving.com,Indian,yes,shopify-json,easy,"VERIFIED INR; table lamps ~6k-8k"
The Purple Turtles,decorative lighting / decor,https://thepurpleturtles.com,Indian,yes,shopify-json,easy,"VERIFIED INR (Bengaluru); pendant lamps + decor"
The Decor Kart,decorative lamps / decor,https://www.thedecorkart.com,Indian,yes,shopify-json,easy,"VERIFIED INR (New Delhi); table lamps ~21.9k"
Marshalls India,wallpaper (importer/retailer),https://www.marshallsindia.com,Indian,yes,shopify-json,medium,"VERIFIED INR but opaque titles (CL-xxxxx); needs product-page enrichment"
